ax;ay;az;gx;gy;gz
-0.05;-0.02;1.1;-3.42;-46.2;-0.31
0.16;-0.14;0.61;-21.85;-44.56;1.59
-0.09;-0.09;0.55;-20.81;57.62;-0.06
-0.06;-0.06;0.76;1.28;-39.86;0.49
0.03;-0.01;1.11;3.42;-60.42;0.55
0.04;-0.15;0.46;-30.33;14.16;1.83
0.05;0.06;0.92;-6.77;-16.48;-0.37
-0.18;-0.04;0.44;-5.19;65.37;1.22
-0.04;-0.03;1.0;-1.53;-41.69;0.37
0.26;0.22;0.84;-4.27;-17.27;-2.81
-0.05;-0.08;1.0;17.46;-0.73;0.49
-0.05;-0.06;0.88;0.98;-15.44;0.49
0.06;-0.0;1.1;-1.28;-32.35;-0.18
0.1;-0.2;0.72;-28.2;28.08;1.1
0.05;0.01;0.96;-13.67;-10.68;-0.79
-0.07;-0.13;0.38;-35.34;30.94;-0.24
-0.05;-0.02;0.77;0.73;-47.0;0.43
0.1;0.11;1.14;-10.93;-50.96;-2.08
0.05;-0.15;0.92;-16.11;-0.37;0.79
-0.02;-0.03;1.0;-16.11;4.39;-0.61
-0.18;-0.18;0.38;-25.45;60.18;1.1
-0.11;0.02;1.11;9.52;-18.92;0.49
-0.06;0.02;1.23;-7.63;-60.97;0.31
0.28;0.19;0.91;-28.5;48.95;0.06
-0.06;-0.21;0.95;11.35;-49.99;1.65
-0.1;-0.05;0.99;-28.02;35.52;-1.22
-0.05;-0.03;0.95;5.86;-22.46;0.43
0.26;0.21;1.01;-13.0;-56.21;-1.77
-0.17;-0.23;1.07;-15.08;19.96;0.24
0.05;0.06;1.04;-15.56;20.69;-0.37
0.06;0.01;0.96;10.8;-9.64;0.49
0.53;0.21;0.91;-25.7;0.85;4.21
-0.13;-0.16;0.31;-10.13;-8.06;-0.49
0.0;0.03;1.33;6.84;-59.81;-0.37
-0.14;-0.05;0.07;-58.53;39.31;-3.42
0.09;-0.04;0.84;53.41;-33.81;-1.89
-0.04;-0.1;0.87;-9.64;-10.62;0.0
-0.2;-0.27;0.19;-38.82;4.21;14.65
0.13;0.11;0.89;40.59;-19.35;-2.44
0.0;-0.05;0.86;8.06;-7.69;0.49
0.58;0.52;0.89;-31.13;-13.92;7.63
0.05;-0.04;0.89;9.77;-6.35;-0.73
-0.05;-0.14;0.99;-21.06;26.67;-2.08
0.22;0.04;0.86;-17.09;-54.08;-5.37
-0.06;-0.02;1.0;-1.16;19.23;-0.06
-0.01;-0.26;0.72;-16.17;-9.7;12.33
0.02;-0.15;0.89;-24.17;-3.11;-1.46
0.1;0.13;0.67;7.45;41.99;0.06
0.04;0.0;0.82;6.1;-17.27;0.55
-0.16;-0.38;1.04;4.76;35.22;12.33
0.24;0.25;1.24;4.33;-18.49;0.67
-0.03;-0.05;0.91;18.98;-4.39;-0.06
-0.3;-0.35;0.42;-45.96;3.91;7.75
0.23;0.12;0.91;7.57;-15.63;0.18
-0.12;-0.22;0.94;-75.26;6.53;-1.53
0.06;-0.02;1.07;41.63;-11.05;-1.83
-0.01;-0.13;0.75;-24.41;28.56;-1.1
0.16;0.14;1.04;1.28;-37.17;0.06
0.07;-0.18;0.91;-46.69;-8.79;-3.97
0.0;0.06;1.07;22.52;-13.06;-1.22
-0.35;-0.31;0.26;4.82;8.48;0.06
0.31;0.33;1.21;21.48;-66.77;-3.17
-0.07;-0.14;0.83;16.42;29.85;-1.53
0.24;0.31;1.38;-32.59;-3.3;3.6
0.06;-0.08;0.94;-52.12;6.04;-1.46
-0.02;-0.01;0.97;24.48;-19.17;-2.14
0.01;-0.08;0.87;-6.04;16.05;0.31
-0.25;-0.23;0.7;5.0;-38.45;38.51
0.13;-0.0;0.93;-14.1;-4.27;-2.62
-0.05;-0.13;0.8;-10.07;35.28;-1.34
