timestamp;rms;peak_to_peak;std;mean;max;label
14:11:16.770;0.0895;0.28827;0.03237;0.08798;0.23212;0
14:11:16.870;0.1138;0.33484;0.04262;0.11612;0.28354;0
14:11:16.970;0.14725;0.52581;0.07231;0.13658;0.39948;0
14:11:17.070;0.14377;0.51279;0.05845;0.14009;0.39649;0
14:11:17.170;0.12387;0.37771;0.04505;0.12176;0.31062;0
14:11:17.270;0.11157;0.33363;0.04131;0.10412;0.27094;0
14:11:17.370;0.11895;0.39255;0.04245;0.1176;0.31387;0
14:11:17.470;0.1063;0.33023;0.04572;0.11095;0.27607;0
14:11:17.570;0.10287;0.2919;0.04192;0.10359;0.24954;0
14:11:17.670;0.10369;0.29246;0.05405;0.10126;0.24749;0
14:11:17.770;0.16475;0.54974;0.06125;0.14304;0.41791;0
14:11:17.870;0.10473;0.31859;0.04731;0.09073;0.25002;0
14:11:17.970;0.08625;0.27611;0.03684;0.08115;0.21921;0
14:11:18.070;0.1158;0.33119;0.04418;0.11347;0.27906;0
14:11:18.170;0.11151;0.39688;0.04395;0.11482;0.31327;0
14:11:18.270;0.08298;0.26568;0.0363;0.07631;0.20915;0
14:11:18.370;0.13973;0.44225;0.06843;0.14667;0.3678;0
14:11:18.470;0.08448;0.28153;0.03586;0.08328;0.22405;0
14:11:18.570;0.11996;0.37434;0.05677;0.12239;0.30956;0
14:11:18.670;0.11931;0.39038;0.05905;0.10719;0.30238;0
14:11:18.770;0.12534;0.41485;0.06052;0.12871;0.33613;0
14:11:18.870;0.10007;0.36;0.05465;0.09991;0.27992;0
14:11:18.970;0.09398;0.28198;0.03634;0.08753;0.22852;0
14:11:19.070;0.13631;0.43663;0.05275;0.13928;0.35759;0
14:11:19.170;0.10726;0.34858;0.0462;0.10002;0.27431;0
14:11:19.270;0.10512;0.3667;0.0489;0.09461;0.27796;0
14:11:19.370;0.11406;0.37121;0.05154;0.10194;0.28755;0
14:11:19.470;0.1437;0.4574;0.05561;0.13993;0.36863;0
14:11:19.570;0.11356;0.32777;0.05187;0.10318;0.26707;0
14:11:19.670;0.15585;0.5216;0.06715;0.14201;0.40281;0
14:11:19.770;0.16182;0.49768;0.07469;0.14868;0.39751;0
14:11:19.870;0.14019;0.44206;0.07214;0.14064;0.36167;0
14:11:19.970;0.12209;0.43625;0.05314;0.11879;0.33691;0
14:11:20.070;0.17564;0.58981;0.06314;0.16873;0.46363;0
14:11:20.170;0.1164;0.41459;0.05315;0.09902;0.30631;0
14:11:20.270;0.09916;0.29455;0.04056;0.08616;0.23344;0
14:11:20.370;0.08334;0.27711;0.03236;0.08521;0.22377;0
14:11:20.470;0.08079;0.25959;0.03035;0.07571;0.2055;0
14:11:20.570;0.10154;0.29946;0.05369;0.09945;0.24918;0
14:11:20.670;0.10681;0.33002;0.05307;0.11023;0.27524;0
14:11:20.770;0.06233;0.19936;0.03117;0.05687;0.15655;0
14:11:20.870;0.11743;0.39721;0.04264;0.11092;0.30953;0
14:11:20.970;0.11677;0.33415;0.05604;0.12184;0.28891;0
14:11:21.070;0.10949;0.373;0.05893;0.09869;0.28519;0
14:11:21.170;0.11877;0.3702;0.04918;0.11463;0.29974;0
14:11:21.270;0.13003;0.45513;0.06101;0.1291;0.35666;0
14:11:21.370;0.14446;0.40516;0.05117;0.14268;0.34526;0
14:11:21.470;0.16082;0.56453;0.07494;0.13947;0.42173;0
14:11:21.570;0.09803;0.28969;0.03914;0.09995;0.2448;0
14:11:21.670;0.07615;0.23193;0.02755;0.07693;0.19289;0
14:11:21.770;0.14059;0.4339;0.05014;0.13202;0.34897;0
14:11:21.870;0.10831;0.34;0.04087;0.09883;0.26883;0
14:11:21.970;0.11636;0.34308;0.05145;0.11566;0.2872;0
14:11:22.070;0.09241;0.27278;0.04679;0.09084;0.22723;0
14:11:22.170;0.09172;0.29537;0.03419;0.08481;0.23249;0
14:11:22.270;0.15994;0.50042;0.06727;0.15595;0.40616;0
14:11:22.370;0.09708;0.3275;0.03602;0.08527;0.24902;0
14:11:22.470;0.14643;0.45246;0.05487;0.13266;0.35889;0
14:11:22.570;0.0886;0.2515;0.03879;0.08967;0.21542;0
14:11:22.670;0.14753;0.43371;0.06148;0.13768;0.35454;0
14:11:22.770;0.10534;0.30953;0.04501;0.08954;0.2443;0
14:11:22.870;0.15386;0.52382;0.07647;0.15763;0.41954;0
14:11:22.970;0.16037;0.47354;0.05778;0.16554;0.40231;0
14:11:23.070;0.16412;0.49111;0.06994;0.15556;0.40112;0
14:11:23.170;0.12771;0.36317;0.05841;0.13123;0.31282;0
14:11:23.270;0.11441;0.3338;0.04035;0.10025;0.26715;0
14:11:23.370;0.10289;0.32574;0.0511;0.08929;0.25216;0
14:11:23.470;0.1033;0.31109;0.03805;0.10251;0.25805;0
14:11:23.570;0.14998;0.43951;0.07322;0.15029;0.37005;0
14:11:23.670;0.12489;0.39005;0.05755;0.10942;0.30445;0
14:11:23.770;0.13206;0.44567;0.06002;0.12469;0.34752;0
14:11:23.870;0.12569;0.40502;0.04773;0.11662;0.31913;0
14:11:23.970;0.16009;0.53822;0.07662;0.13715;0.40626;0
14:11:24.070;0.13298;0.41815;0.06419;0.11457;0.32364;0
14:11:24.170;0.13246;0.37176;0.06619;0.12401;0.30989;0
14:11:24.270;0.11604;0.33007;0.06209;0.11786;0.28289;0
14:11:24.370;0.12151;0.35668;0.05168;0.12034;0.29867;0
14:11:24.470;0.11331;0.36182;0.05673;0.10711;0.28802;0
14:11:24.570;0.07673;0.22189;0.03942;0.07872;0.18967;0
14:11:24.670;0.09928;0.29922;0.04858;0.08732;0.23693;0
14:11:24.770;0.09553;0.30406;0.04821;0.0927;0.24473;0
14:11:24.870;0.13427;0.41243;0.05949;0.13383;0.34005;0
14:11:24.970;0.15993;0.47157;0.0598;0.13987;0.37566;0
14:11:25.070;0.07855;0.25278;0.02937;0.08102;0.20741;0
14:11:25.170;0.10634;0.33143;0.04252;0.10778;0.2735;0
14:11:25.270;0.11513;0.36869;0.04721;0.11192;0.29627;0
14:11:25.370;0.08581;0.30448;0.04191;0.08247;0.23471;0
14:11:25.470;0.09052;0.27081;0.03349;0.08779;0.2232;0
14:11:25.570;0.09096;0.29248;0.04671;0.09035;0.23659;0
14:11:25.670;0.13376;0.37972;0.05891;0.14044;0.3303;0
14:11:25.770;0.07555;0.26072;0.03496;0.07731;0.20767;0
14:11:25.870;0.09096;0.3243;0.03222;0.0868;0.24895;0
14:11:25.970;0.16111;0.5484;0.07629;0.16178;0.43599;0
14:11:26.070;0.06414;0.20848;0.03409;0.06611;0.17034;0
14:11:26.170;0.09455;0.26734;0.04159;0.08488;0.21854;0
14:11:26.270;0.07522;0.22511;0.04125;0.0712;0.18376;0
14:11:26.370;0.09231;0.29837;0.04362;0.09452;0.2437;0
14:11:26.470;0.11954;0.34472;0.04283;0.10359;0.27595;0
14:11:26.570;0.12445;0.3911;0.06167;0.10847;0.30402;0
14:11:26.670;0.12803;0.44718;0.05794;0.12619;0.34978;0
14:11:26.770;0.13281;0.40242;0.06021;0.12845;0.32966;0
14:11:26.870;0.12885;0.43285;0.06457;0.13085;0.34728;0
14:11:26.970;0.17128;0.55829;0.08942;0.16096;0.4401;0
14:11:27.070;0.11094;0.34394;0.05104;0.1091;0.28107;0
14:11:27.170;0.09141;0.32004;0.03623;0.08135;0.24137;0
14:11:27.270;0.1274;0.40698;0.06451;0.11005;0.31354;0
14:11:27.370;0.13065;0.38641;0.07032;0.11747;0.31067;0
14:11:27.470;0.11929;0.36919;0.04734;0.1074;0.292;0
14:11:27.570;0.09539;0.29457;0.05231;0.08334;0.23063;0
14:11:27.670;0.11324;0.36906;0.05129;0.10555;0.29008;0
14:11:27.770;0.13349;0.4138;0.05012;0.11439;0.32129;0
14:11:27.870;0.11418;0.37501;0.04551;0.11177;0.29927;0
14:11:27.970;0.15509;0.49921;0.06565;0.13879;0.38839;0
14:11:28.070;0.09758;0.34791;0.03808;0.09721;0.27116;0
14:11:28.170;0.16971;0.56082;0.07489;0.15704;0.43745;0
14:11:28.270;0.13101;0.39301;0.04875;0.12471;0.32121;0
14:11:28.370;0.12044;0.43081;0.04638;0.1184;0.3338;0
14:11:28.470;0.16205;0.51312;0.0689;0.14295;0.39951;0
14:11:28.570;0.15785;0.49429;0.05941;0.1372;0.38434;0
14:11:28.670;0.13441;0.41741;0.06736;0.11852;0.32723;0
14:11:28.770;0.08999;0.31347;0.04504;0.08316;0.23989;0
14:11:28.870;0.12647;0.45235;0.05534;0.12621;0.35238;0
14:11:28.970;0.12976;0.44878;0.07077;0.12263;0.34702;0
14:11:29.070;0.09744;0.32939;0.04096;0.08538;0.25008;0
14:11:29.170;0.12385;0.39167;0.06069;0.11012;0.30596;0
14:11:29.270;0.11978;0.37002;0.04498;0.11525;0.30026;0
14:11:29.370;0.11387;0.35418;0.05163;0.11524;0.29233;0
14:11:29.470;0.12866;0.37986;0.05829;0.12442;0.31435;0
14:11:29.570;0.12866;0.37325;0.06718;0.12569;0.31232;0
14:11:29.670;0.09671;0.30972;0.04158;0.08415;0.23902;0
14:11:29.770;0.13454;0.44361;0.05266;0.12568;0.34749;0
14:11:29.870;0.12175;0.36421;0.04362;0.12228;0.30439;0
14:11:29.970;0.16797;0.52039;0.07848;0.16908;0.42927;0
14:11:30.070;0.13212;0.40295;0.04875;0.13652;0.33799;0
14:11:30.170;0.10668;0.38196;0.03944;0.10134;0.29232;0
14:11:30.270;0.09659;0.32934;0.04343;0.08611;0.25078;0
14:11:30.370;0.1547;0.43464;0.05674;0.15517;0.3725;0
14:11:30.470;0.12936;0.36477;0.0493;0.12419;0.30657;0
14:11:30.570;0.11511;0.36727;0.04138;0.11504;0.29868;0
14:11:30.670;0.15429;0.44667;0.0759;0.1574;0.38074;0
14:11:30.770;0.1385;0.39738;0.06579;0.14423;0.34292;0
14:11:30.870;0.14587;0.42953;0.07469;0.14095;0.35572;0
14:11:30.970;0.16025;0.55899;0.06253;0.1542;0.43369;0
14:11:31.070;0.11798;0.36583;0.04531;0.12014;0.30305;0
14:11:31.170;0.1697;0.50323;0.07865;0.16627;0.41788;0
14:11:31.270;0.12114;0.42708;0.05681;0.12045;0.33399;0
14:11:31.370;0.11117;0.38545;0.0603;0.10012;0.29285;0
14:11:31.470;0.11953;0.38043;0.0622;0.12525;0.31546;0
14:11:31.570;0.09868;0.29339;0.04865;0.0975;0.2442;0
14:11:31.670;0.09991;0.31392;0.04659;0.1002;0.25716;0
14:11:31.770;0.15513;0.51853;0.06228;0.1464;0.40567;0
14:11:31.870;0.20215;0.71909;0.08705;0.17355;0.53309;0
14:11:31.970;0.11861;0.34316;0.04521;0.10868;0.28026;0
14:11:32.070;0.11181;0.36537;0.04457;0.1078;0.29049;0
14:11:32.170;0.13567;0.46626;0.07426;0.12262;0.35575;0
14:11:32.270;0.12522;0.40723;0.06112;0.11034;0.31396;0
14:11:32.370;0.13197;0.44222;0.05358;0.11734;0.33845;0
14:11:32.470;0.16747;0.53977;0.0878;0.17339;0.44328;0
14:11:32.570;0.1415;0.43814;0.05025;0.12315;0.34221;0
14:11:32.670;0.09143;0.27235;0.03606;0.08648;0.22265;0
14:11:32.770;0.10168;0.31025;0.04434;0.09278;0.2479;0
14:11:32.870;0.14469;0.40845;0.07539;0.14984;0.35406;0
14:11:32.970;0.0913;0.29159;0.03873;0.09261;0.2384;0
14:11:33.070;0.09831;0.28298;0.04437;0.09177;0.23326;0
14:11:33.170;0.09801;0.28981;0.0452;0.10286;0.24777;0
14:11:33.270;0.1379;0.44125;0.05719;0.14049;0.36112;0
14:11:33.370;0.14749;0.48312;0.06211;0.1268;0.36836;0
14:11:33.470;0.09103;0.31051;0.04061;0.07968;0.23493;0
14:11:33.570;0.13441;0.44238;0.06681;0.1337;0.35489;0
14:11:33.670;0.12345;0.41876;0.04855;0.12289;0.33226;0
14:11:33.770;0.11115;0.31833;0.05913;0.10221;0.26138;0
14:11:33.870;0.13234;0.44991;0.05839;0.13563;0.36058;0
14:11:33.970;0.12843;0.39624;0.06167;0.1207;0.31882;0
14:11:34.070;0.15495;0.45659;0.07225;0.13523;0.36353;0
14:11:34.170;0.14641;0.45141;0.05636;0.13742;0.36312;0
14:11:34.270;0.12169;0.35841;0.05057;0.11084;0.29004;0
14:11:34.370;0.11202;0.33884;0.0548;0.11271;0.28212;0
14:11:34.470;0.13675;0.46961;0.06127;0.1329;0.36771;0
14:11:34.570;0.12907;0.43039;0.05738;0.11863;0.33383;0
14:11:34.670;0.13923;0.48598;0.07474;0.13173;0.37472;0
14:11:34.770;0.11073;0.33688;0.04771;0.10655;0.27499;0
14:11:34.870;0.09322;0.28714;0.04093;0.09541;0.23898;0
14:11:34.970;0.11582;0.35334;0.04429;0.10568;0.28236;0
14:11:35.070;0.07904;0.24717;0.04028;0.08183;0.20542;0
14:11:35.170;0.10184;0.33078;0.03902;0.0916;0.25698;0
14:11:35.270;0.16971;0.48189;0.07448;0.16882;0.40976;0
14:11:35.370;0.16077;0.51765;0.06158;0.15966;0.41848;0
14:11:35.470;0.13086;0.4277;0.06891;0.13312;0.34697;0
14:11:35.570;0.14984;0.42967;0.07958;0.14989;0.36472;0
14:11:35.670;0.12462;0.35693;0.06376;0.12802;0.30648;0
14:11:35.770;0.15347;0.45898;0.06006;0.13926;0.36875;0
14:11:35.870;0.09848;0.27746;0.045;0.08662;0.22536;0
14:11:35.970;0.10052;0.34364;0.05495;0.09826;0.27008;0
14:11:36.070;0.08654;0.26727;0.03988;0.0907;0.22433;0
14:11:36.170;0.17811;0.5936;0.06699;0.15612;0.45292;0
14:11:36.270;0.11117;0.34066;0.04736;0.10125;0.27158;0
14:11:36.370;0.11284;0.38674;0.0559;0.09799;0.29135;0
14:11:36.470;0.10497;0.30489;0.05577;0.09259;0.24503;0
14:11:36.570;0.13121;0.44531;0.06638;0.12744;0.35009;0
14:11:36.670;0.09916;0.29218;0.04743;0.10016;0.24625;0
14:11:36.770;0.1237;0.38573;0.06116;0.12622;0.31908;0
14:11:36.870;0.13213;0.41896;0.04633;0.12415;0.33363;0
14:11:36.970;0.10972;0.36959;0.04008;0.09634;0.28113;0
14:11:37.070;0.06653;0.19568;0.02729;0.06936;0.1672;0
14:11:37.170;0.12831;0.38178;0.05343;0.13233;0.32322;0
14:11:37.270;0.10475;0.35853;0.04237;0.08963;0.2689;0
14:11:37.370;0.16025;0.47156;0.07565;0.13668;0.37246;0
14:11:37.470;0.12497;0.44393;0.054;0.10839;0.33035;0
14:11:37.570;0.07832;0.24584;0.04186;0.07879;0.20171;0
14:11:37.670;0.11899;0.33582;0.04584;0.10338;0.27129;0
14:11:37.770;0.15268;0.4335;0.0726;0.14709;0.36384;0
14:11:37.870;0.07021;0.21283;0.03006;0.06866;0.17508;0
14:11:37.970;0.18354;0.55879;0.09242;0.17463;0.45402;0
14:11:38.070;0.1197;0.33808;0.04877;0.11918;0.28822;0
14:11:38.170;0.13054;0.38231;0.05151;0.13667;0.32783;0
14:11:38.270;0.17357;0.5426;0.06366;0.15061;0.42191;0
14:11:38.370;0.12947;0.38695;0.0578;0.13317;0.32665;0
14:11:38.470;0.14702;0.45626;0.06091;0.13487;0.363;0
14:11:38.570;0.08065;0.2545;0.03156;0.07302;0.20027;0
14:11:38.670;0.1108;0.37277;0.03992;0.10151;0.28789;0
14:11:38.770;0.11543;0.3655;0.05894;0.10252;0.28527;0
14:11:38.870;0.09246;0.32155;0.03385;0.08442;0.2452;0
14:11:38.970;0.10017;0.30574;0.04369;0.08718;0.24005;0
14:11:39.070;0.09271;0.30399;0.04233;0.09687;0.24886;0
14:11:39.170;0.16009;0.49996;0.06369;0.14011;0.39009;0
14:11:39.270;0.15405;0.50444;0.08232;0.15949;0.41171;0
14:11:39.370;0.13814;0.45375;0.06327;0.12959;0.35647;0
14:11:39.470;0.17667;0.5264;0.08713;0.17899;0.44219;0
14:11:39.570;0.08199;0.27597;0.03783;0.08351;0.22149;0
14:11:39.670;0.13902;0.4993;0.05927;0.11932;0.36896;0
14:11:39.770;0.12619;0.44816;0.06421;0.11976;0.34384;0
14:11:39.870;0.122;0.38125;0.0643;0.121;0.31162;0
