ax;ay;az;gx;gy;gz
0.13;0.62;4.39;78.37;-28.63;2.99
-0.04;0.68;4.31;21.79;-9.77;0.61
1.15;1.23;4.65;110.72;-68.91;-7.39
0.02;-0.11;0.56;-25.7;124.45;3.6
-0.0;1.44;3.76;127.2;-67.81;9.52
0.81;1.0;4.98;108.22;-56.09;1.1
0.72;0.59;3.65;63.66;-24.41;-5.8
0.0;-0.11;0.64;-26.43;134.28;4.15
-1.12;-3.9;-9.64;44.49;-33.75;2.08
-0.06;0.39;6.16;-17.82;55.66;-5.62
-0.07;-0.09;0.58;-84.9;47.79;1.16
-0.3;-0.29;0.61;-33.33;-71.35;23.32
2.03;3.01;-0.34;329.71;-138.0;-16.54
0.63;0.07;0.23;-92.47;134.34;12.88
-1.54;-4.62;-6.41;38.09;-8.85;0.73
-0.36;-0.47;0.17;-19.23;-73.3;39.37
1.12;-0.54;-1.19;319.34;-738.34;-34.42
0.86;0.37;-0.07;-40.1;51.03;12.33
-0.23;-0.26;0.38;-58.65;78.43;28.26
0.02;-0.1;1.0;51.15;-74.95;4.09
-0.39;2.17;3.68;166.87;42.48;-2.99
0.17;-0.03;0.2;-86.24;106.93;4.94
0.69;1.0;5.26;40.22;-42.91;-4.39
0.0;-0.07;-0.12;-143.37;39.06;0.79
0.02;-0.03;1.31;111.45;2.01;-14.4
0.2;-1.35;-5.35;172.12;287.9;-4.03
0.57;0.4;1.05;-41.99;-72.27;4.64
-0.32;-0.25;0.42;-48.46;-120.06;-5.25
0.61;0.65;5.47;33.26;-42.91;-3.42
0.16;0.06;-0.24;-97.9;54.87;4.94
0.55;-2.51;-3.54;7.39;2.75;0.85
0.1;0.34;1.82;-22.03;-94.06;3.23
0.62;1.7;1.29;253.72;-58.47;2.75
0.32;0.26;0.09;-118.29;41.2;-0.92
-0.07;-0.48;1.12;-66.16;66.47;-2.87
-0.01;-0.22;1.1;96.13;-39.37;-4.64
0.26;1.19;5.46;116.52;-5.98;-4.33
0.24;-0.08;0.06;-80.38;112.61;4.46
-0.47;-0.23;0.87;-16.24;-96.44;50.48
-3.4;-1.18;-2.6;7.45;-24.84;0.24
0.04;0.3;2.76;-33.02;-7.39;6.65
-0.02;-0.02;-0.17;-138.61;103.39;5.37
-0.22;-0.47;1.05;55.42;247.68;2.69
-0.17;0.25;1.78;86.55;-243.77;-11.96
1.02;1.23;4.83;71.29;-86.91;-2.38
0.05;-0.01;0.06;-124.88;98.33;1.89
-0.22;-0.35;0.9;-60.18;-74.04;37.11
0.11;-0.15;1.05;97.05;25.45;4.58
0.07;0.46;2.79;-28.14;-7.02;4.39
0.09;-0.08;-0.13;-129.52;129.15;16.36
-0.03;-0.12;0.17;71.29;7.45;38.45
-1.86;-2.83;-6.28;4.7;-34.91;1.65
-0.37;-0.28;0.63;-100.1;127.81;33.39
-0.01;-0.13;1.01;51.09;-70.37;26.0
-0.33;0.9;4.98;57.86;73.36;-3.54
0.17;0.03;-0.04;-82.89;127.87;5.74
1.87;1.49;2.76;139.95;39.55;-8.06
0.34;0.01;0.21;-94.12;39.31;10.13
-0.28;-0.26;1.33;-62.56;171.57;9.77
-0.09;0.13;1.35;46.02;-72.33;-8.67
-3.47;-0.84;-2.76;10.13;-21.06;-0.06
-0.02;-0.03;3.93;-41.5;12.02;11.17
0.27;0.02;0.43;-79.35;345.28;38.39
-4.9;-1.49;-3.01;26.37;-174.56;1.59
-0.08;0.1;3.38;-30.46;79.28;6.9
0.19;-0.06;-0.04;-69.27;338.56;14.95
-0.04;-0.34;-0.49;138.43;-522.34;-0.73
1.75;1.46;1.09;144.71;-4.88;-5.0
0.45;0.03;0.71;-75.32;173.52;15.75
-0.23;-0.06;0.49;-70.25;132.63;23.93
0.07;-0.14;1.18;42.36;-107.54;-2.44
0.89;0.48;4.09;-9.77;-45.17;3.23
0.15;-0.13;0.55;-76.97;95.83;5.98
-0.07;-0.02;0.75;23.56;41.26;-68.79
0.07;0.08;1.0;-15.44;26.49;-75.56
0.25;-0.04;5.93;-30.76;-134.95;-4.15
-0.06;-0.15;-0.13;-233.76;-6.29;-16.11
-0.1;-0.12;0.89;125.92;75.44;-22.4
-0.44;0.24;7.15;-44.86;-26.49;-6.77
-0.03;-0.03;-0.24;-207.03;48.34;-10.56
0.15;-0.23;0.55;-3.72;-143.68;10.38
0.19;-0.3;0.99;115.05;74.1;-14.16
0.46;2.27;4.2;95.95;-127.93;13.0
0.07;0.18;-0.46;-151.79;-58.78;-7.2
0.22;-0.7;1.84;-67.14;-75.81;-7.08
0.03;-0.27;1.23;76.29;-9.52;-22.89
-0.2;-0.04;0.89;-77.09;28.69;0.43
3.53;0.22;0.4;-14.04;-2.08;0.67
-0.16;0.31;2.05;-25.39;-134.89;-0.55
0.05;-0.07;-0.0;-175.48;-173.52;-7.69
-0.04;-0.0;-0.01;64.58;80.51;-17.52
0.27;0.71;1.14;66.77;101.07;-2.62
0.48;-1.84;-2.59;92.41;268.07;10.8
0.26;0.4;0.58;-53.53;-150.33;2.81
0.04;-0.17;0.82;-113.89;-88.2;-1.22
0.08;-0.19;0.74;83.56;35.28;-15.01
0.26;0.15;1.05;36.74;78.49;-3.72
-0.25;0.06;4.81;0.43;-3.91;-2.99
-0.03;-0.06;-0.14;-146.0;62.13;-3.6
0.2;-0.16;0.58;44.25;-99.43;0.55
-0.72;0.21;1.18;-23.01;106.51;-1.77
