ax;ay;az;gx;gy;gz
-0.03;0.02;0.93;-0.31;-2.38;-0.06
-0.01;-0.02;0.94;0.61;3.66;0.18
0.01;-0.03;0.94;-0.24;1.71;0.18
0.01;-0.03;0.93;-0.43;0.0;0.12
0.01;0.0;0.95;3.36;0.61;0.18
0.02;-0.03;0.93;0.73;1.95;0.12
0.01;-0.03;0.92;-0.12;1.65;0.18
0.01;-0.03;0.92;-0.37;0.37;0.12
-0.01;-0.07;0.89;-0.85;5.37;0.12
0.02;-0.04;0.9;-1.59;1.46;0.06
0.02;-0.03;0.92;-0.67;-1.16;0.24
0.02;-0.03;0.92;-0.73;-0.55;0.12
0.02;-0.01;0.97;1.22;1.71;0.24
0.02;-0.03;0.93;0.18;3.23;0.18
0.02;-0.03;0.93;-0.31;0.98;0.12
0.01;-0.01;0.98;1.46;0.85;0.24
0.01;-0.02;0.94;0.73;0.98;0.24
0.01;-0.03;0.92;-0.06;-0.24;0.24
0.07;0.02;0.99;6.29;-0.24;0.18
0.03;-0.03;0.92;2.56;-2.56;0.43
0.03;-0.04;0.9;2.08;-1.83;0.31
0.02;-0.03;0.91;-0.18;-0.18;0.12
-0.02;-0.04;0.93;-7.02;10.99;-0.31
0.0;-0.02;0.95;-1.89;5.86;0.12
0.02;-0.02;0.94;-0.49;0.06;0.06
0.04;0.06;0.89;2.08;12.21;-0.61
0.04;-0.01;0.91;1.95;-5.43;0.24
0.02;-0.02;0.92;-0.24;-1.77;0.06
0.02;-0.03;0.93;-0.61;-0.06;0.06
0.02;-0.05;0.91;-1.28;-0.98;0.06
0.03;-0.03;0.91;-0.98;-1.77;0.0
0.04;-0.03;0.9;1.34;-5.07;0.18
0.03;-0.03;0.91;-0.18;-1.65;0.06
0.03;-0.03;0.92;-0.85;0.24;0.18
0.06;-0.03;0.97;-7.14;4.46;-0.12
0.04;-0.02;0.95;-0.73;0.92;0.18
0.01;-0.01;0.92;0.43;3.6;0.18
0.03;-0.03;0.92;-0.31;-1.04;0.12
0.02;-0.03;0.92;-0.73;-0.49;0.18
0.06;0.07;1.01;-0.49;3.66;0.06
0.02;-0.02;0.9;0.18;0.06;0.06
0.03;-0.03;0.92;-0.92;0.49;0.0
0.02;-0.07;0.88;-5.55;6.65;0.06
-0.0;0.0;0.89;6.41;-9.95;0.37
0.01;-0.03;0.91;0.61;3.78;0.18
0.03;-0.03;0.92;-0.49;0.67;0.06
0.02;-0.1;0.89;-4.7;-6.29;0.37
0.11;-0.04;0.89;-4.33;-1.28;-0.49
0.05;-0.03;0.93;-1.59;-8.18;0.0
0.02;-0.03;0.93;-0.73;-0.92;0.12
-0.01;-0.01;0.91;7.45;-14.28;-0.67
-0.01;-0.05;0.9;0.37;5.19;0.06
-0.02;-0.01;0.81;3.42;-14.71;-0.24
0.0;-0.03;0.87;2.26;7.81;0.24
-0.05;-0.07;0.91;2.08;-13.06;-0.24
-0.01;-0.06;0.91;-1.71;5.55;0.31
0.04;-0.03;0.97;6.71;4.09;0.31
0.02;-0.07;0.92;2.26;-2.75;0.06
-0.03;-0.03;0.95;-5.07;2.81;0.18
0.0;-0.03;0.94;-1.89;-1.46;0.18
0.0;-0.03;0.93;-1.16;-1.16;0.37
0.0;-0.03;0.92;-1.04;-0.12;0.18
0.0;-0.03;0.93;-0.92;-0.06;0.12
0.0;-0.03;0.92;-0.85;-0.18;0.18
0.0;-0.03;0.92;-0.85;-0.43;0.12
0.0;-0.03;0.92;-0.67;-0.61;0.12
0.0;-0.03;0.92;-0.79;0.61;0.12
0.0;-0.03;0.93;-0.79;-0.55;0.18
0.01;-0.03;0.93;-0.55;-0.43;0.12
0.0;-0.03;0.93;-0.67;0.31;0.0
0.01;-0.03;0.93;-0.67;0.0;0.12
0.05;-0.02;0.89;-0.49;1.59;0.0
0.06;-0.02;0.89;-0.98;-0.85;-0.06
-0.07;-0.02;0.86;-5.13;12.76;-0.06
0.02;-0.02;0.9;-0.85;-1.04;0.18
0.03;-0.01;0.9;-0.55;-0.98;0.06
0.08;-0.03;0.84;-1.65;-6.53;-0.06
0.08;-0.03;0.92;-2.62;-5.74;-0.06
0.05;-0.03;0.93;-2.2;-3.54;0.0
0.06;-0.0;1.01;3.17;4.58;0.18
0.06;-0.03;0.97;0.55;7.45;0.06
0.06;-0.02;0.92;-2.14;-7.75;0.12
0.04;-0.02;0.93;-1.04;0.73;0.06
0.05;-0.02;0.93;-0.61;0.12;0.0
0.02;-0.1;0.8;-6.1;-11.6;0.0
0.03;-0.04;0.84;-4.46;-7.93;-0.06
0.04;-0.02;0.9;-1.34;-2.44;0.06
0.05;-0.02;0.92;-1.16;-0.37;0.0
0.05;-0.0;0.92;1.28;1.34;0.12
0.06;-0.02;0.93;-0.61;1.59;0.12
0.06;-0.02;0.93;-0.67;0.67;0.18
0.1;-0.02;1.0;1.4;-1.71;0.18
